code_id,status,num_of_tests,num_of_pass,num_of_fail
mutant_1_7.py,Fail,10.0,0,7
mutant_1_5.py,Fail,10.0,0,7
mutant_1_0.py,Fail,10.0,0,7
mutant_1_3.py,Fail,10.0,0,7
mutant_1_4.py,Fail,10.0,0,7
mutant_1_2.py,Fail,10.0,0,7
mutant_1_1.py,Fail,10.0,0,7
mutant_1_6.py,Fail,10.0,0,7
mutant_2_0.py,Fail,18.0,0,24
mutant_3_0.py,Fail,12.0,6,6
mutant_3_2.py,Fail,12.0,6,6
mutant_3_1.py,Fail,12.0,6,6
mutant_3_3.py,Fail,12.0,6,6
mutant_4_3.py,Fail,5.0,1,5
mutant_4_4.py,Fail,5.0,0,6
mutant_4_0.py,Fail,5.0,1,5
mutant_4_2.py,Fail,5.0,0,6
mutant_4_1.py,Fail,5.0,0,6
mutant_5_4.py,Fail,8.0,0,10
mutant_5_2.py,Fail,8.0,2,8
mutant_5_5.py,Fail,8.0,0,10
mutant_5_3.py,Fail,8.0,2,8
mutant_5_6.py,Fail,8.0,1,9
mutant_5_1.py,Fail,8.0,2,8
mutant_5_0.py,Fail,8.0,2,8
mutant_6_2.py,Fail,14.0,1,14
mutant_6_1.py,Pass,14.0,15,0
mutant_6_3.py,Fail,14.0,1,14
mutant_6_0.py,Fail,14.0,1,14
mutant_7_0.py,Fail,10.0,2,14
mutant_8_3.py,Fail,12.0,2,13
mutant_8_0.py,Fail,12.0,1,14
mutant_8_1.py,Fail,12.0,1,14
mutant_8_2.py,Fail,12.0,2,13
mutant_9_0.py,Fail,8.0,1,11
mutant_10_7.py,Fail,10.0,1,5
mutant_10_13.py,Fail,10.0,3,3
mutant_10_5.py,Fail,10.0,4,2
mutant_10_3.py,Fail,10.0,1,5
mutant_10_2.py,Fail,10.0,2,4
mutant_10_12.py,Fail,10.0,2,4
mutant_10_9.py,Fail,10.0,1,5
mutant_10_4.py,Fail,10.0,3,3
mutant_10_14.py,Fail,10.0,3,3
mutant_10_1.py,Fail,10.0,3,3
mutant_10_8.py,Fail,10.0,1,5
mutant_10_10.py,Fail,10.0,1,5
mutant_10_11.py,Fail,10.0,2,4
mutant_10_0.py,Fail,10.0,2,4
mutant_10_6.py,Fail,10.0,1,5
mutant_11_0.py,Fail,5.0,0,10
mutant_11_1.py,Fail,5.0,0,10
mutant_13_0.py,Fail,19.0,2,5
mutant_13_1.py,Fail,19.0,2,5
mutant_14_0.py,Fail,14.0,0,14
mutant_14_1.py,Fail,14.0,0,14
mutant_14_2.py,Fail,14.0,0,14
mutant_15_0.py,Fail,11.0,0,11
mutant_18_4.py,Fail,21.0,16,5
mutant_18_7.py,Fail,21.0,17,4
mutant_18_3.py,Fail,21.0,14,7
mutant_18_2.py,Fail,21.0,14,7
mutant_18_0.py,Fail,21.0,20,1
mutant_18_5.py,Fail,21.0,16,5
mutant_18_6.py,Fail,21.0,17,4
mutant_18_1.py,Fail,21.0,15,6
mutant_20_1.py,Fail,9.0,0,8
mutant_20_6.py,Fail,9.0,0,8
mutant_20_4.py,Fail,9.0,0,8
mutant_20_2.py,Fail,9.0,0,8
mutant_20_7.py,Fail,9.0,4,4
mutant_20_5.py,Fail,9.0,0,8
mutant_20_3.py,Fail,9.0,0,8
mutant_20_0.py,Fail,9.0,4,4
mutant_21_2.py,Fail,0.0,3,9
mutant_21_0.py,Fail,0.0,6,6
mutant_21_3.py,Fail,0.0,6,6
mutant_21_1.py,Fail,0.0,3,9
mutant_24_1.py,Fail,4.0,0,7
mutant_24_0.py,Fail,4.0,0,7
mutant_24_2.py,Fail,4.0,0,7
mutant_25_3.py,Fail,13.0,11,24
mutant_25_8.py,Fail,13.0,9,26
mutant_25_4.py,Fail,13.0,0,35
mutant_25_10.py,Fail,13.0,1,34
mutant_25_12.py,Fail,13.0,29,6
mutant_25_2.py,Fail,13.0,16,19
mutant_25_1.py,Fail,13.0,12,23
mutant_25_11.py,Fail,13.0,6,29
mutant_25_7.py,Fail,13.0,0,35
mutant_25_5.py,Fail,13.0,12,23
mutant_25_9.py,Pass,13.0,35,0
mutant_25_0.py,Fail,13.0,21,14
mutant_25_6.py,Fail,13.0,1,34
mutant_26_0.py,Fail,13.0,3,4
mutant_26_1.py,Fail,13.0,3,4
mutant_30_1.py,Pass,10.0,9,0
mutant_30_0.py,Fail,10.0,1,8
mutant_31_0.py,Fail,16.0,7,5
mutant_31_3.py,Fail,16.0,8,4
mutant_31_2.py,Fail,16.0,7,5
mutant_31_4.py,Fail,16.0,8,4
mutant_31_5.py,Fail,16.0,11,1
mutant_31_6.py,Fail,16.0,8,4
mutant_31_1.py,Fail,16.0,5,7
mutant_32_23.py,Fail,17.0,0,17
mutant_32_19.py,Fail,17.0,0,17
mutant_32_0.py,Fail,17.0,0,17
mutant_32_18.py,Fail,17.0,0,17
mutant_32_1.py,Fail,17.0,0,17
mutant_32_9.py,Fail,17.0,0,17
mutant_32_2.py,Fail,17.0,0,17
mutant_32_8.py,Fail,17.0,0,17
mutant_32_17.py,Fail,17.0,0,17
mutant_32_5.py,Fail,17.0,0,17
mutant_32_15.py,Fail,17.0,0,17
mutant_32_11.py,Fail,17.0,0,17
mutant_32_7.py,Fail,17.0,0,17
mutant_32_27.py,Fail,17.0,0,17
mutant_32_13.py,Fail,17.0,0,17
mutant_32_28.py,Fail,17.0,0,17
mutant_32_6.py,Fail,17.0,0,17
mutant_32_20.py,Fail,17.0,0,17
mutant_32_29.py,Fail,17.0,0,17
mutant_32_26.py,Fail,17.0,0,17
mutant_32_3.py,Fail,17.0,0,17
mutant_32_10.py,Fail,17.0,0,17
mutant_32_25.py,Fail,17.0,0,17
mutant_32_21.py,Fail,17.0,0,17
mutant_32_16.py,Fail,17.0,0,17
mutant_32_22.py,Fail,17.0,0,17
mutant_32_14.py,Fail,17.0,0,17
mutant_32_4.py,Fail,17.0,0,17
mutant_32_24.py,Fail,17.0,0,17
mutant_32_12.py,Fail,17.0,0,17
mutant_33_1.py,Fail,6.0,0,6
mutant_33_0.py,Fail,6.0,0,6
mutant_35_2.py,Fail,14.0,21,1
mutant_35_1.py,Fail,14.0,3,19
mutant_35_0.py,Fail,14.0,3,19
mutant_36_4.py,Fail,12.0,10,4
mutant_36_0.py,Fail,12.0,10,4
mutant_36_5.py,Fail,12.0,8,6
mutant_36_6.py,Fail,12.0,8,6
mutant_36_3.py,Fail,12.0,8,6
mutant_36_7.py,Fail,12.0,1,13
mutant_36_1.py,Fail,12.0,10,4
mutant_36_2.py,Fail,12.0,10,4
mutant_37_7.py,Fail,11.0,3,9
mutant_37_3.py,Fail,11.0,6,6
mutant_37_2.py,Fail,11.0,0,12
mutant_37_1.py,Fail,11.0,7,5
mutant_37_4.py,Fail,11.0,6,6
mutant_37_6.py,Fail,11.0,1,11
