code_id,status,num_of_tests,num_of_pass,num_of_fail
2_script_2.py,Pass,1,1,0
3_script_3.py,Pass,2,2,0
4_script_4.py,Pass,1,1,0
5_script_5.py,Pass,3,3,0
6_script_6.py,Pass,3,3,0
7_script_7.py,Pass,2,2,0
8_script_8.py,Pass,2,2,0
9_script_9.py,Pass,2,2,0
10_script_10.py,Pass,2,2,0
11_script_11.py,Pass,2,2,0
14_script_14.py,Pass,1,1,0
15_script_15.py,Pass,1,1,0
16_script_16.py,Pass,1,1,0
17_script_17.py,Pass,0,0,0
18_script_18.py,Pass,2,2,0
19_script_19.py,Pass,0,0,0
20_script_20.py,Pass,1,1,0
21_script_21.py,Pass,1,1,0
22_script_22.py,Pass,2,2,0
23_script_23.py,Pass,1,1,0
24_script_24.py,Pass,1,1,0
26_script_26.py,Pass,2,2,0
27_script_27.py,Pass,1,1,0
28_script_28.py,Pass,1,1,0
29_script_29.py,Pass,2,2,0
30_script_30.py,Pass,1,1,0
31_script_31.py,Pass,2,2,0
33_script_33.py,Pass,1,1,0
34_script_34.py,Pass,1,1,0
35_script_35.py,Pass,1,1,0
36_script_36.py,Pass,1,1,0
37_script_37.py,Pass,2,2,0
38_script_38.py,Pass,1,1,0
40_script_40.py,Pass,1,1,0
41_script_41.py,Pass,1,1,0
42_script_42.py,Pass,1,1,0
43_script_43.py,Pass,3,3,0
44_script_44.py,Pass,2,2,0
45_script_45.py,Pass,0,0,0
46_script_46.py,Pass,1,1,0
47_script_47.py,Pass,1,1,0
48_script_48.py,Pass,2,2,0
49_script_49.py,Pass,2,2,0
50_script_50.py,Pass,2,2,0
52_script_52.py,Pass,2,2,0
53_script_53.py,Pass,1,1,0
54_script_54.py,Pass,0,0,0
56_script_56.py,Pass,2,2,0
57_script_57.py,Pass,1,1,0
58_script_58.py,Pass,2,2,0
60_script_60.py,Pass,1,1,0
61_script_61.py,Pass,2,2,0
62_script_62.py,Pass,1,1,0
64_script_64.py,Pass,1,1,0
65_script_65.py,Pass,0,0,0
66_script_66.py,Pass,0,0,0
67_script_67.py,Pass,0,0,0
68_script_68.py,Pass,1,1,0
69_script_69.py,Pass,1,1,0
70_script_70.py,Pass,1,1,0
71_script_71.py,Pass,3,3,0
72_script_72.py,Pass,4,4,0
73_script_73.py,Pass,2,2,0
74_script_74.py,Pass,0,0,0
77_script_77.py,Pass,0,0,0
78_script_78.py,Pass,1,1,0
79_script_79.py,Pass,0,0,0
80_script_80.py,Pass,2,2,0
82_script_82.py,Pass,2,2,0
83_script_83.py,Pass,0,0,0
84_script_84.py,Pass,0,0,0
85_script_85.py,Pass,1,1,0
86_script_86.py,Pass,0,0,0
87_script_87.py,Pass,1,1,0
88_script_88.py,Pass,0,0,0
89_script_89.py,Pass,0,0,0
90_script_90.py,Pass,1,1,0
91_script_91.py,Pass,0,0,0
93_script_93.py,Pass,0,0,0
94_script_94.py,Pass,0,0,0
96_script_96.py,Pass,0,0,0
97_script_97.py,Pass,0,0,0
100_script_100.py,Pass,0,0,0
101_script_101.py,Pass,0,0,0
102_script_102.py,Pass,0,0,0
103_script_103.py,Pass,0,0,0
104_script_104.py,Pass,0,0,0
105_script_105.py,Pass,1,1,0
107_script_107.py,Pass,0,0,0
108_script_108.py,Pass,1,1,0
109_script_109.py,Pass,1,1,0
110_script_110.py,Pass,0,0,0
113_script_113.py,Pass,2,2,0
114_script_114.py,Pass,3,3,0
115_script_115.py,Pass,1,1,0
116_script_116.py,Pass,1,1,0
117_script_117.py,Pass,1,1,0
118_script_118.py,Pass,2,2,0
119_script_119.py,Pass,3,3,0
120_script_120.py,Pass,0,0,0
121_script_121.py,Pass,1,1,0
122_script_122.py,Pass,1,1,0
126_script_126.py,Pass,1,1,0
128_script_128.py,Pass,1,1,0
129_script_129.py,Pass,1,1,0
130_script_130.py,Pass,0,0,0
131_script_131.py,Pass,1,1,0
132_script_132.py,Pass,3,3,0
133_script_133.py,Pass,1,1,0
134_script_134.py,Pass,3,3,0
135_script_135.py,Pass,1,1,0
136_script_136.py,Pass,1,1,0
137_script_137.py,Pass,1,1,0
138_script_138.py,Pass,1,1,0
145_script_145.py,Pass,1,1,0
146_script_146.py,Pass,1,1,0
149_script_149.py,Pass,0,0,0
150_script_150.py,Pass,0,0,0
151_script_151.py,Pass,2,2,0
152_script_152.py,Pass,0,0,0
153_script_153.py,Pass,0,0,0
154_script_154.py,Pass,0,0,0
155_script_155.py,Pass,0,0,0
157_script_157.py,Pass,1,1,0
158_script_158.py,Pass,0,0,0
159_script_159.py,Pass,0,0,0
160_script_160.py,Pass,0,0,0
161_script_161.py,Pass,0,0,0
162_script_162.py,Pass,0,0,0
163_script_163.py,Pass,0,0,0
