code_id,status,num_of_tests,num_of_pass,num_of_fail
1_mutant_1_7.py,Fail,4,0,4
1_mutant_1_5.py,Fail,4,0,4
1_mutant_1_0.py,Fail,4,0,4
1_mutant_1_3.py,Fail,4,0,4
1_mutant_1_4.py,Fail,4,0,4
1_mutant_1_2.py,Fail,4,0,4
1_mutant_1_1.py,Fail,4,0,4
1_mutant_1_6.py,Fail,4,0,4
2_mutant_2_0.py,Fail,1,0,1
3_mutant_3_0.py,Fail,2,0,2
3_mutant_3_2.py,Fail,2,0,2
3_mutant_3_1.py,Fail,2,0,2
3_mutant_3_3.py,Fail,2,0,2
4_mutant_4_3.py,Pass,1,1,0
4_mutant_4_4.py,Pass,1,1,0
4_mutant_4_0.py,Fail,1,0,1
4_mutant_4_2.py,Fail,1,0,1
4_mutant_4_1.py,Pass,1,1,0
5_mutant_5_4.py,Fail,3,0,3
5_mutant_5_2.py,Fail,3,1,2
5_mutant_5_5.py,Fail,3,0,3
5_mutant_5_3.py,Fail,3,2,1
5_mutant_5_6.py,Fail,3,1,2
5_mutant_5_1.py,Fail,3,2,1
5_mutant_5_0.py,Fail,3,2,1
6_mutant_6_2.py,Fail,3,0,3
6_mutant_6_1.py,Fail,3,0,3
6_mutant_6_3.py,Fail,3,0,3
6_mutant_6_0.py,Fail,3,0,3
7_mutant_7_0.py,Fail,2,0,2
8_mutant_8_3.py,Fail,2,1,1
8_mutant_8_0.py,Fail,2,1,1
8_mutant_8_1.py,Fail,2,1,1
8_mutant_8_2.py,Fail,2,1,1
9_mutant_9_0.py,Fail,2,0,2
10_mutant_10_7.py,Fail,2,1,1
10_mutant_10_13.py,Fail,2,1,1
10_mutant_10_5.py,Pass,2,2,0
10_mutant_10_3.py,Pass,2,2,0
10_mutant_10_2.py,Pass,2,2,0
10_mutant_10_12.py,Pass,2,2,0
10_mutant_10_9.py,Fail,2,1,1
10_mutant_10_4.py,Fail,2,1,1
10_mutant_10_14.py,Fail,2,1,1
10_mutant_10_1.py,Fail,2,1,1
10_mutant_10_8.py,Fail,2,1,1
10_mutant_10_10.py,Fail,2,0,2
10_mutant_10_11.py,Fail,2,0,2
10_mutant_10_0.py,Fail,2,0,2
10_mutant_10_6.py,Fail,2,1,1
11_mutant_11_0.py,Fail,2,0,2
11_mutant_11_1.py,Fail,2,0,2
14_mutant_14_0.py,Fail,1,0,1
14_mutant_14_1.py,Pass,1,1,0
14_mutant_14_2.py,Pass,1,1,0
15_mutant_15_0.py,Fail,1,0,1
16_mutant_16_0.py,Fail,1,0,1
17_mutant_17_2.py,Pass,0,0,0
17_mutant_17_1.py,Pass,0,0,0
17_mutant_17_0.py,Pass,0,0,0
18_mutant_18_4.py,Fail,2,0,2
18_mutant_18_7.py,Pass,2,2,0
18_mutant_18_3.py,Fail,2,1,1
18_mutant_18_2.py,Pass,2,2,0
18_mutant_18_0.py,Pass,2,2,0
18_mutant_18_5.py,Pass,2,2,0
18_mutant_18_6.py,Pass,2,2,0
18_mutant_18_1.py,Fail,2,1,1
19_mutant_19_0.py,Pass,0,0,0
20_mutant_20_1.py,Pass,1,1,0
20_mutant_20_6.py,Pass,1,1,0
20_mutant_20_4.py,Pass,1,1,0
20_mutant_20_2.py,Pass,1,1,0
20_mutant_20_7.py,Pass,1,1,0
20_mutant_20_5.py,Pass,1,1,0
20_mutant_20_3.py,Pass,1,1,0
20_mutant_20_0.py,Pass,1,1,0
21_mutant_21_2.py,Pass,1,1,0
21_mutant_21_0.py,Pass,1,1,0
21_mutant_21_3.py,Pass,1,1,0
21_mutant_21_1.py,Pass,1,1,0
24_mutant_24_1.py,Pass,1,1,0
24_mutant_24_0.py,Pass,1,1,0
24_mutant_24_2.py,Pass,1,1,0
26_mutant_26_0.py,Fail,2,0,2
26_mutant_26_1.py,Fail,2,0,2
30_mutant_30_1.py,Pass,1,1,0
30_mutant_30_0.py,Fail,1,0,1
31_mutant_31_0.py,Pass,2,2,0
31_mutant_31_3.py,Pass,2,2,0
31_mutant_31_2.py,Pass,2,2,0
31_mutant_31_4.py,Pass,2,2,0
31_mutant_31_5.py,Pass,2,2,0
31_mutant_31_6.py,Pass,2,2,0
31_mutant_31_1.py,Pass,2,2,0
33_mutant_33_1.py,Fail,1,0,1
33_mutant_33_0.py,Fail,1,0,1
35_mutant_35_2.py,Pass,1,1,0
35_mutant_35_1.py,Pass,1,1,0
35_mutant_35_0.py,Pass,1,1,0
36_mutant_36_4.py,Fail,1,0,1
36_mutant_36_0.py,Fail,1,0,1
36_mutant_36_5.py,Fail,1,0,1
36_mutant_36_6.py,Fail,1,0,1
36_mutant_36_3.py,Fail,1,0,1
36_mutant_36_7.py,Fail,1,0,1
36_mutant_36_1.py,Fail,1,0,1
36_mutant_36_2.py,Fail,1,0,1
37_mutant_37_7.py,Pass,2,2,0
37_mutant_37_3.py,Fail,2,1,1
37_mutant_37_2.py,Fail,2,0,2
37_mutant_37_1.py,Fail,2,1,1
37_mutant_37_4.py,Fail,2,0,2
37_mutant_37_6.py,Fail,2,1,1
37_mutant_37_0.py,Fail,2,1,1
37_mutant_37_5.py,Fail,2,1,1
38_mutant_38_0.py,Fail,1,0,1
38_mutant_38_1.py,Fail,1,0,1
38_mutant_38_4.py,Fail,1,0,1
38_mutant_38_3.py,Fail,1,0,1
38_mutant_38_11.py,Fail,1,0,1
38_mutant_38_13.py,Fail,1,0,1
38_mutant_38_12.py,Fail,1,0,1
38_mutant_38_6.py,Fail,1,0,1
38_mutant_38_5.py,Fail,1,0,1
38_mutant_38_7.py,Fail,1,0,1
38_mutant_38_2.py,Fail,1,0,1
38_mutant_38_10.py,Fail,1,0,1
38_mutant_38_14.py,Fail,1,0,1
38_mutant_38_9.py,Fail,1,0,1
38_mutant_38_8.py,Fail,1,0,1
