code_id,status,num_of_tests,num_of_pass,num_of_fail
wrong_2_001.py,Fail,4,2,2
wrong_2_002.py,Pass,4,4,0
wrong_2_003.py,Pass,4,4,0
wrong_2_004.py,Fail,4,0,4
wrong_2_005.py,Fail,4,2,2
wrong_2_006.py,Fail,4,1,3
wrong_2_007.py,Fail,4,1,3
wrong_2_008.py,Fail,4,2,2
wrong_2_009.py,Fail,4,2,2
wrong_2_010.py,Fail,4,2,2
wrong_2_011.py,Fail,4,2,2
wrong_2_012.py,Fail,4,2,2
wrong_2_013.py,Fail,4,2,2
wrong_2_014.py,Fail,4,2,2
wrong_2_015.py,Fail,4,2,2
wrong_2_016.py,Fail,4,2,2
wrong_2_017.py,Fail,4,2,2
wrong_2_018.py,Fail,4,2,2
wrong_2_019.py,Pass,4,4,0
wrong_2_020.py,Pass,4,4,0
wrong_2_021.py,Fail,4,2,2
wrong_2_022.py,Fail,4,2,2
wrong_2_023.py,Fail,4,2,2
wrong_2_024.py,Fail,4,2,2
wrong_2_025.py,Fail,4,2,2
wrong_2_026.py,Fail,4,2,2
wrong_2_027.py,Fail,4,2,2
wrong_2_028.py,Fail,4,2,2
wrong_2_029.py,Fail,4,2,2
wrong_2_030.py,Fail,4,0,4
wrong_2_031.py,Fail,4,0,4
wrong_2_032.py,Fail,4,0,4
wrong_2_033.py,Fail,4,0,4
wrong_2_034.py,Fail,4,2,2
wrong_2_035.py,Fail,4,2,2
wrong_2_036.py,Fail,4,2,2
wrong_2_037.py,Fail,4,2,2
wrong_2_038.py,Fail,4,2,2
wrong_2_039.py,Fail,4,3,1
wrong_2_040.py,Fail,4,2,2
wrong_2_041.py,Fail,4,0,4
wrong_2_042.py,Fail,4,1,3
wrong_2_043.py,Fail,4,3,1
wrong_2_044.py,Fail,4,0,4
wrong_2_045.py,Fail,4,3,1
wrong_2_046.py,Fail,4,2,2
wrong_2_047.py,Fail,4,2,2
wrong_2_048.py,Fail,4,2,2
wrong_2_049.py,Fail,4,0,4
wrong_2_050.py,Fail,4,0,4
wrong_2_051.py,Fail,4,0,4
wrong_2_052.py,Fail,4,2,2
wrong_2_053.py,Fail,4,0,4
wrong_2_054.py,Fail,4,0,4
wrong_2_055.py,Fail,4,0,4
wrong_2_056.py,Fail,4,0,4
wrong_2_057.py,Fail,4,1,3
wrong_2_058.py,Fail,4,1,3
wrong_2_059.py,Fail,4,2,2
wrong_2_060.py,Fail,4,2,2
wrong_2_061.py,Fail,4,2,2
wrong_2_062.py,Fail,4,2,2
wrong_2_063.py,Fail,4,2,2
wrong_2_064.py,Fail,4,2,2
wrong_2_065.py,Fail,4,3,1
wrong_2_066.py,Fail,4,2,2
wrong_2_067.py,Fail,4,2,2
wrong_2_068.py,Fail,4,2,2
wrong_2_069.py,Fail,4,2,2
wrong_2_070.py,Fail,4,2,2
wrong_2_071.py,Fail,4,0,4
wrong_2_072.py,Fail,4,3,1
wrong_2_073.py,Pass,4,4,0
wrong_2_074.py,Fail,4,2,2
wrong_2_075.py,Pass,4,4,0
wrong_2_076.py,Fail,4,2,2
wrong_2_077.py,Fail,4,0,4
wrong_2_078.py,Fail,4,2,2
wrong_2_079.py,Fail,4,2,2
wrong_2_080.py,Fail,4,1,3
wrong_2_081.py,Fail,4,1,3
wrong_2_082.py,Fail,4,0,4
wrong_2_083.py,Fail,4,2,2
wrong_2_084.py,Fail,4,2,2
wrong_2_085.py,Fail,4,2,2
wrong_2_086.py,Fail,4,0,4
wrong_2_087.py,Fail,4,0,4
wrong_2_088.py,Fail,4,2,2
wrong_2_089.py,Fail,4,0,4
wrong_2_090.py,Fail,4,1,3
wrong_2_091.py,Fail,4,0,4
wrong_2_092.py,Fail,4,1,3
wrong_2_093.py,Fail,4,0,4
wrong_2_094.py,Fail,4,0,4
wrong_2_095.py,Fail,4,0,4
wrong_2_096.py,Fail,4,0,4
wrong_2_097.py,Fail,4,0,4
wrong_2_098.py,Fail,4,0,4
wrong_2_099.py,Fail,4,0,4
wrong_2_100.py,Fail,4,0,4
wrong_2_101.py,Fail,4,0,4
wrong_2_102.py,Fail,4,0,4
wrong_2_103.py,Fail,4,0,4
wrong_2_104.py,Fail,4,0,4
wrong_2_105.py,Fail,4,0,4
wrong_2_106.py,Fail,4,0,4
wrong_2_107.py,Fail,4,0,4
wrong_2_108.py,Fail,4,0,4
wrong_2_109.py,Fail,4,0,4
wrong_2_110.py,Fail,4,0,4
wrong_2_111.py,Fail,4,0,4
wrong_2_112.py,Fail,4,1,3
wrong_2_113.py,Fail,4,1,3
wrong_2_114.py,Fail,4,2,2
wrong_2_115.py,Fail,4,1,3
wrong_2_116.py,Fail,4,2,2
wrong_2_117.py,Fail,4,1,3
wrong_2_118.py,Fail,4,3,1
wrong_2_119.py,Fail,4,3,1
wrong_2_120.py,Pass,4,4,0
wrong_2_121.py,Fail,4,2,2
wrong_2_122.py,Fail,4,2,2
wrong_2_123.py,Fail,4,0,4
wrong_2_124.py,Fail,4,0,4
wrong_2_125.py,Fail,4,0,4
wrong_2_126.py,Fail,4,1,3
wrong_2_127.py,Fail,4,1,3
