code_id,status,num_of_tests,num_of_pass,num_of_fail
wrong_4_001.py,Fail,5.0,0,5
wrong_4_002.py,Fail,5.0,0,5
wrong_4_003.py,Fail,5.0,0,5
wrong_4_004.py,Fail,5.0,0,5
wrong_4_005.py,Fail,5.0,0,5
wrong_4_006.py,Fail,5.0,0,5
wrong_4_007.py,Fail,5.0,0,5
wrong_4_008.py,Fail,5.0,0,5
wrong_4_009.py,Fail,5.0,1,4
wrong_4_010.py,Fail,5.0,1,4
wrong_4_011.py,Fail,5.0,0,5
wrong_4_012.py,Pass,5.0,5,0
wrong_4_013.py,Fail,5.0,0,5
wrong_4_015.py,Fail,5.0,0,5
wrong_4_016.py,Pass,5.0,5,0
wrong_4_018.py,Fail,5.0,1,4
wrong_4_019.py,Fail,5.0,0,5
wrong_4_020.py,Fail,5.0,0,5
wrong_4_021.py,Fail,5.0,0,5
wrong_4_022.py,Fail,5.0,0,5
wrong_4_023.py,Fail,5.0,0,5
wrong_4_024.py,Fail,5.0,0,5
wrong_4_025.py,Fail,5.0,0,5
wrong_4_026.py,Pass,5.0,5,0
wrong_4_027.py,Fail,5.0,0,5
wrong_4_028.py,Fail,5.0,0,5
wrong_4_029.py,Fail,5.0,0,5
wrong_4_030.py,Fail,5.0,0,5
wrong_4_031.py,Fail,5.0,0,5
wrong_4_032.py,Fail,5.0,0,5
wrong_4_033.py,Fail,5.0,0,5
wrong_4_034.py,Fail,5.0,0,5
wrong_4_036.py,Fail,5.0,0,5
wrong_4_037.py,Fail,5.0,0,5
wrong_4_039.py,Pass,5.0,5,0
wrong_4_040.py,Fail,5.0,0,5
wrong_4_042.py,Fail,5.0,0,5
wrong_4_043.py,Fail,5.0,1,4
wrong_4_045.py,Fail,5.0,1,4
wrong_4_046.py,Fail,5.0,0,5
wrong_4_047.py,Fail,5.0,0,5
wrong_4_048.py,Fail,5.0,0,5
wrong_4_049.py,Fail,5.0,0,5
wrong_4_050.py,Fail,5.0,0,5
wrong_4_051.py,Fail,5.0,0,5
wrong_4_052.py,Fail,5.0,2,3
wrong_4_053.py,Fail,5.0,0,5
wrong_4_054.py,Fail,5.0,0,5
wrong_4_055.py,Fail,5.0,0,5
wrong_4_056.py,Fail,5.0,1,4
wrong_4_057.py,Pass,5.0,5,0
wrong_4_059.py,Fail,5.0,1,4
wrong_4_060.py,Pass,5.0,5,0
wrong_4_062.py,Fail,5.0,0,5
wrong_4_063.py,Fail,5.0,0,5
wrong_4_065.py,Fail,5.0,0,5
wrong_4_066.py,Fail,5.0,0,5
wrong_4_067.py,Fail,5.0,0,5
wrong_4_069.py,Fail,5.0,0,5
wrong_4_070.py,Fail,5.0,0,5
wrong_4_071.py,Fail,5.0,0,5
wrong_4_072.py,Fail,5.0,0,5
wrong_4_073.py,Fail,5.0,0,5
wrong_4_077.py,Fail,5.0,1,4
wrong_4_079.py,Fail,5.0,0,5
wrong_4_081.py,Fail,5.0,0,5
wrong_4_082.py,Fail,5.0,0,5
wrong_4_083.py,Fail,5.0,0,5
wrong_4_084.py,Fail,5.0,0,5
wrong_4_085.py,Fail,5.0,0,5
wrong_4_087.py,Fail,5.0,0,5
wrong_4_088.py,Fail,5.0,0,5
wrong_4_089.py,Fail,5.0,0,5
wrong_4_090.py,Fail,5.0,0,5
wrong_4_091.py,Fail,5.0,0,5
wrong_4_092.py,Fail,5.0,0,5
wrong_4_093.py,Fail,5.0,1,4
wrong_4_095.py,Fail,5.0,0,5
wrong_4_096.py,Fail,5.0,0,5
wrong_4_098.py,Fail,5.0,0,5
wrong_4_099.py,Fail,5.0,0,5
wrong_4_100.py,Fail,5.0,0,5
wrong_4_101.py,Fail,5.0,2,3
wrong_4_102.py,Fail,5.0,0,5
wrong_4_103.py,Fail,5.0,0,5
wrong_4_104.py,Fail,5.0,0,5
wrong_4_105.py,Fail,5.0,0,5
wrong_4_106.py,Fail,5.0,0,5
wrong_4_107.py,Fail,5.0,0,5
wrong_4_109.py,Fail,5.0,0,5
wrong_4_110.py,Fail,5.0,0,5
wrong_4_111.py,Fail,5.0,0,5
wrong_4_113.py,Pass,5.0,5,0
wrong_4_114.py,Fail,5.0,1,4
wrong_4_115.py,Fail,5.0,1,4
wrong_4_117.py,Fail,5.0,0,5
wrong_4_118.py,Fail,5.0,0,5
wrong_4_119.py,Fail,5.0,0,5
wrong_4_120.py,Fail,5.0,0,5
wrong_4_121.py,Fail,5.0,0,5
