code_id,status,num_of_tests,num_of_pass,num_of_fail
wrong_5_001.py,Fail,5.0,0,5
wrong_5_002.py,Fail,5.0,0,5
wrong_5_003.py,Fail,5.0,2,3
wrong_5_004.py,Fail,5.0,0,5
wrong_5_005.py,Fail,5.0,4,1
wrong_5_006.py,Fail,5.0,4,1
wrong_5_007.py,Fail,5.0,1,4
wrong_5_008.py,Fail,5.0,2,3
wrong_5_009.py,Fail,5.0,0,5
wrong_5_010.py,Fail,5.0,0,5
wrong_5_011.py,Fail,5.0,0,5
wrong_5_012.py,Fail,5.0,0,5
wrong_5_013.py,Fail,5.0,0,5
wrong_5_014.py,Fail,5.0,1,4
wrong_5_015.py,Pass,5.0,5,0
wrong_5_016.py,Fail,5.0,4,1
wrong_5_017.py,Fail,5.0,0,5
wrong_5_018.py,Fail,5.0,2,3
wrong_5_019.py,Fail,5.0,1,4
wrong_5_020.py,Fail,5.0,1,4
wrong_5_021.py,Fail,5.0,1,4
wrong_5_022.py,Fail,5.0,0,5
wrong_5_023.py,Fail,5.0,1,4
wrong_5_024.py,Fail,5.0,1,4
wrong_5_025.py,Fail,5.0,1,4
wrong_5_026.py,Fail,5.0,0,5
wrong_5_027.py,Fail,5.0,0,5
wrong_5_028.py,Fail,5.0,0,5
wrong_5_029.py,Fail,5.0,0,5
wrong_5_030.py,Fail,5.0,4,1
wrong_5_031.py,Fail,5.0,0,5
wrong_5_032.py,Pass,5.0,5,0
wrong_5_033.py,Fail,5.0,0,5
wrong_5_034.py,Fail,5.0,4,1
wrong_5_035.py,Fail,5.0,4,1
wrong_5_036.py,Fail,5.0,4,1
wrong_5_037.py,Fail,5.0,1,4
wrong_5_038.py,Fail,5.0,0,5
wrong_5_039.py,Fail,5.0,0,5
wrong_5_040.py,Fail,5.0,0,5
wrong_5_041.py,Fail,5.0,2,3
wrong_5_042.py,Fail,5.0,0,5
wrong_5_043.py,Fail,5.0,0,5
wrong_5_044.py,Fail,5.0,0,5
wrong_5_045.py,Fail,5.0,0,5
wrong_5_046.py,Fail,5.0,0,5
wrong_5_047.py,Fail,5.0,0,5
wrong_5_048.py,Fail,5.0,0,5
wrong_5_049.py,Fail,5.0,0,5
wrong_5_050.py,Fail,5.0,4,1
wrong_5_051.py,Fail,5.0,0,5
wrong_5_052.py,Fail,5.0,0,5
wrong_5_053.py,Fail,5.0,1,4
wrong_5_054.py,Fail,5.0,2,3
wrong_5_055.py,Fail,5.0,3,2
wrong_5_056.py,Fail,5.0,4,1
wrong_5_057.py,Fail,5.0,3,2
wrong_5_058.py,Fail,5.0,2,3
wrong_5_059.py,Fail,5.0,1,4
wrong_5_060.py,Fail,5.0,1,4
wrong_5_061.py,Pass,5.0,5,0
wrong_5_062.py,Fail,5.0,1,4
wrong_5_063.py,Fail,5.0,1,4
wrong_5_064.py,Fail,5.0,1,4
wrong_5_065.py,Fail,5.0,1,4
wrong_5_066.py,Fail,5.0,0,5
wrong_5_067.py,Fail,5.0,0,5
wrong_5_068.py,Fail,5.0,1,4
wrong_5_069.py,Fail,5.0,1,4
wrong_5_070.py,Fail,5.0,1,4
wrong_5_071.py,Fail,5.0,0,5
wrong_5_072.py,Fail,5.0,1,4
wrong_5_073.py,Fail,5.0,4,1
wrong_5_074.py,Fail,5.0,4,1
wrong_5_075.py,Fail,5.0,0,5
wrong_5_076.py,Fail,5.0,1,4
wrong_5_077.py,Fail,5.0,1,4
wrong_5_078.py,Fail,5.0,0,5
wrong_5_079.py,Fail,5.0,1,4
wrong_5_080.py,Fail,5.0,0,5
wrong_5_081.py,Fail,5.0,0,5
wrong_5_082.py,Fail,5.0,0,5
wrong_5_083.py,Fail,5.0,1,4
wrong_5_084.py,Fail,5.0,0,5
wrong_5_085.py,Fail,5.0,1,4
wrong_5_086.py,Fail,5.0,1,4
wrong_5_087.py,Fail,5.0,1,4
wrong_5_088.py,Fail,5.0,0,5
wrong_5_089.py,Fail,5.0,1,4
wrong_5_090.py,Fail,5.0,1,4
wrong_5_091.py,Fail,5.0,1,4
wrong_5_092.py,Fail,5.0,0,5
wrong_5_093.py,Fail,5.0,1,4
wrong_5_094.py,Pass,5.0,5,0
wrong_5_095.py,Pass,5.0,5,0
wrong_5_096.py,Fail,5.0,1,4
wrong_5_097.py,Fail,5.0,2,3
wrong_5_098.py,Fail,5.0,0,5
wrong_5_099.py,Fail,5.0,0,5
wrong_5_100.py,Fail,5.0,0,5
wrong_5_101.py,Fail,5.0,0,5
wrong_5_102.py,Fail,5.0,0,5
wrong_5_103.py,Fail,5.0,0,5
wrong_5_104.py,Fail,5.0,0,5
wrong_5_105.py,Fail,5.0,1,4
wrong_5_106.py,Fail,5.0,1,4
wrong_5_107.py,Fail,5.0,0,5
wrong_5_108.py,Fail,5.0,0,5
