Question,Sampling Rate,Experiment ID,File Name,Status,Match (Rfty Code),Match (Ori Code),Buggy Code,Buggy Mutation,Refactored Correct Code,Original Correct File Name,Rule ID,Repair,Stru. Matching Time,Online Refactoring Time,GCR Time,Stru. Mutation Time,Block Mapping Time,Variable Mapping Time,Specification&Synthesis Time,Total Time,#Passed Test Case,#Test Case,RPS
question_5,100,0,wrong_5_001.py,success_wo_mut,1,1,"def top_k ( lst , k ) :
    result = [ ]
    while ( k >= 0 ) :
        big = max ( lst )
        result . append ( big )
        lst . remove ( big )
        k -= 1
    return result


","def top_k ( lst , k ) :
    result = [ ]
    while ( k >= 0 ) :
        big = max ( lst )
        result . append ( big )
        lst . remove ( big )
        k -= 1
    return result


","def top_k ( lst , k ) :
    result = [ ]
    while ( k > 0 ) :
        big = max ( lst )
        result . append ( big )
        lst . remove ( big )
        k -= 1
    return result


",{'top_k': 'correct_5_015.py'},{'top_k': ''},"def top_k ( lst , k ) :
    result = [ ]
    while ( k > 0 ) :
        big = max ( lst )
        result . append ( big )
        lst . remove ( big )
        k -= 1
    return result
",N/A,1.250,0.141,0.000,0.000,0.078,0.078,1.562,5,5,0.029
question_5,100,0,wrong_5_002.py,success_wo_mut,1,1,"def top_k ( lst , k ) :
    lst_res = lst
    sort = [ ]
    while lst_res :
        largest = lst_res [ 0 ]
        for elements in lst_res :
            if ( element > largest ) :
                largest = element
        lst_res . remove ( largest )
        sort . append ( largest )
    return sort [ : k ]


","def top_k ( lst , k ) :
    lst_res = lst
    sort = [ ]
    while lst_res :
        largest = lst_res [ 0 ]
        for elements in lst_res :
            if ( element > largest ) :
                largest = element
        lst_res . remove ( largest )
        sort . append ( largest )
    return sort [ : k ]


","def top_k ( lst , k ) :
    lst_res = lst
    sort = [ ]
    while lst_res :
        largest = lst_res [ 0 ]
        for elements in lst_res :
            if ( elements > largest ) :
                largest = elements
        lst_res . remove ( largest )
        sort . append ( largest )
    return sort [ : k ]


",{'top_k': 'correct_5_009.py'},{'top_k': ''},"def top_k ( lst , k ) :
    sort = lst
    lst_res = [ ]
    while sort :
        largest = sort [ 0 ]
        for elements in sort :
            if ( elements > largest ) :
                largest = elements
        sort . remove ( largest )
        lst_res . append ( largest )
    return lst_res [ : k ]
",N/A,0.609,0.406,0.000,0.000,0.297,15.922,17.266,5,5,0.222
question_5,100,0,wrong_5_003.py,success_wo_mut,1,1,"def top_k ( lst , k ) :
    tmp = [ ]
    while ( len ( lst ) > 0 ) :
        tmp . append ( max ( lst ) )
        lst . remove ( max ( lst ) )
    return tmp [ : 5 ]


","def top_k ( lst , k ) :
    tmp = [ ]
    while ( len ( lst ) > 0 ) :
        tmp . append ( max ( lst ) )
        lst . remove ( max ( lst ) )
    return tmp [ : 5 ]


","def top_k ( lst , k ) :
    tmp = [ ]
    while ( len ( lst ) > 0 ) :
        tmp . append ( max ( lst ) )
        lst . remove ( max ( lst ) )
    return tmp [ : k ]


",{'top_k': 'correct_5_038.py'},{'top_k': ''},"def top_k ( lst , k ) :
    tmp = [ ]
    while ( len ( lst ) > 0 ) :
        tmp . append ( max ( lst ) )
        lst . remove ( max ( lst ) )
    return tmp [ : k ]
",N/A,0.641,0.156,0.000,0.000,0.062,0.078,0.953,5,5,0.029
question_5,100,0,wrong_5_004.py,success_wo_mut,1,0,"def top_k ( lst , k ) :
    sort = [ ]
    while lst :
        biggest = lst [ 0 ]
        for element in lst :
            if ( ele > biggest ) :
                biggest = ele
        lst . remove ( element )
        sort . append ( element )
        if ( len ( sort ) == k ) :
            break
    return sort


","def top_k ( lst , k ) :
    sort = [ ]
    while lst :
        biggest = lst [ 0 ]
        for element in lst :
            if ( ele > biggest ) :
                biggest = ele
        lst . remove ( element )
        sort . append ( element )
        if ( len ( sort ) == k ) :
            break
    return sort


","

def top_k(lst, k):
    newlist = []
    counter = k
    while (counter > 0):
        biggest = lst[0]
        for i in lst[1:]:
            if (biggest > i):
                continue
            biggest = i
            continue
        if True:
            pass
        newlist += [biggest]
        counter -= 1
        lst.remove(biggest)
    return newlist
",{'top_k': 'correct_5_188.py'},"{'top_k': 'B1.h,A1.a'}","def top_k ( lst , k ) :
    ref_newlist = [ ]
    ref_counter = k
    while ( ref_counter > 0 ) :
        biggest = lst [ 0 ]
        for ref_i in lst [ 1 : ] :
            if ( biggest > ref_i ) :
                continue
            biggest = ref_i
            continue
        if True :
            pass
        ref_newlist += [ biggest ]
        ref_counter -= 1
        lst . remove ( biggest )
    return ref_newlist
",N/A,2.578,0.016,0.000,0.000,0.250,0.906,3.766,5,5,0.936
question_5,100,0,wrong_5_005.py,success_wo_mut,1,0,"def top_k ( lst , k ) :
    sort = [ ]
    while lst :
        biggest = lst [ 0 ]
        for element in lst :
            if ( element > biggest ) :
                biggest = element
        lst . remove ( element )
        sort . append ( element )
        if ( len ( sort ) == k ) :
            break
    return sort


","def top_k ( lst , k ) :
    sort = [ ]
    while lst :
        biggest = lst [ 0 ]
        for element in lst :
            if ( element > biggest ) :
                biggest = element
        lst . remove ( element )
        sort . append ( element )
        if ( len ( sort ) == k ) :
            break
    return sort


","

def top_k(lst, k):
    newlist = []
    counter = k
    while (counter > 0):
        biggest = lst[0]
        for i in lst[1:]:
            if (biggest > i):
                continue
            biggest = i
            continue
        if True:
            pass
        newlist += [biggest]
        counter -= 1
        lst.remove(biggest)
    return newlist
",{'top_k': 'correct_5_188.py'},"{'top_k': 'B1.h,A1.a'}","def top_k ( lst , k ) :
    ref_newlist = [ ]
    ref_counter = k
    while ( ref_counter > 0 ) :
        biggest = lst [ 0 ]
        for ref_i in lst [ 1 : ] :
            if ( biggest > ref_i ) :
                continue
            biggest = ref_i
            continue
        if True :
            pass
        ref_newlist += [ biggest ]
        ref_counter -= 1
        lst . remove ( biggest )
    return ref_newlist
",N/A,1.328,0.031,0.000,0.000,0.391,0.891,2.672,5,5,0.936
question_5,100,0,wrong_5_006.py,success_wo_mut,1,0,"def top_k ( lst , k ) :
    sort = [ ]
    while lst :
        biggest = lst [ 0 ]
        for element in lst :
            if ( element > biggest ) :
                biggest = element
        lst . remove ( biggest )
        sort . append ( biggest )
        if ( len ( sort ) == k ) :
            break
    return sort


","def top_k ( lst , k ) :
    sort = [ ]
    while lst :
        biggest = lst [ 0 ]
        for element in lst :
            if ( element > biggest ) :
                biggest = element
        lst . remove ( biggest )
        sort . append ( biggest )
        if ( len ( sort ) == k ) :
            break
    return sort


","

def top_k(lst, k):
    newlist = []
    counter = k
    while (counter > 0):
        biggest = lst[0]
        for i in lst[1:]:
            if (biggest > i):
                continue
            biggest = i
            continue
        if True:
            pass
        newlist += [biggest]
        counter -= 1
        lst.remove(biggest)
    return newlist
",{'top_k': 'correct_5_188.py'},"{'top_k': 'B1.h,A1.a'}","def top_k ( lst , k ) :
    ref_newlist = [ ]
    ref_counter = k
    while ( ref_counter > 0 ) :
        biggest = lst [ 0 ]
        for ref_i in lst [ 1 : ] :
            if ( biggest > ref_i ) :
                continue
            biggest = ref_i
            continue
        if True :
            pass
        ref_newlist += [ biggest ]
        ref_counter -= 1
        lst . remove ( biggest )
    return ref_newlist
",N/A,1.297,0.016,0.000,0.000,0.391,0.891,2.609,5,5,0.894
question_5,100,0,wrong_5_007.py,success_w_mut,0,0,"def top_k ( lst , k ) :
    lst1 = [ ]
    for i in lst :
        if ( i >= k ) :
            lst1 . append ( i )
    sort = [ ]
    while lst1 :
        biggest = lst [ 0 ]
        for element in lst1 :
            if ( element > biggest ) :
                biggest = element
        lst1 . remove ( biggest )
        sort . append ( biggest )
    return sort


","def top_k ( lst , k ) :
    lst1 = [ ]
    if ( lst == [ ] ) :
        pass
        if ( i >= k ) :
            lst1 . append ( i )
        pass
    else :
        pass
    sort = [ ]
    while lst1 :
        biggest = lst [ 0 ]
        for element in lst1 :
            pass
            if ( element > biggest ) :
                biggest = element
            pass
        lst1 . remove ( biggest )
        sort . append ( biggest )
    return sort
","

def top_k(lst, k):
    if (lst == []):
        if True:
            return []
    else:
        pass
    sort = []
    while lst:
        largest = lst[0]
        for i in lst:
            if (i > largest):
                largest = i
        lst.remove(largest)
        sort.append(largest)
    return sort[:k]
    pass
",{'top_k': 'correct_5_148.py'},"{'top_k': 'B2.l,B1.f'}","def top_k ( lst1 , k ) :
    if ( lst1 == [ ] ) :
        pass
        if ( element >= k ) :
            lst1 . append ( element )
        pass
    else :
        pass
    ref_sort = [ ]
    while lst1 :
        biggest = lst1 [ 0 ]
        for element in lst1 :
            pass
            if ( element > biggest ) :
                biggest = element
            pass
        lst1 . remove ( biggest )
        ref_sort . append ( biggest )
    return ref_sort [ : k ]
    pass
",N/A,19.297,0.047,0.000,0.016,0.203,18.031,37.609,5,5,0.382
question_5,100,0,wrong_5_008.py,success_wo_mut,1,1,"def top_k ( lst , k ) :
    sort = [ ]
    while lst :
        biggest = lst [ 0 ]
        for element in lst :
            if ( element > biggest ) :
                biggest = element
        lst . remove ( biggest )
        sort . append ( biggest )
    return sort [ : ( k + 1 ) ]


","def top_k ( lst , k ) :
    sort = [ ]
    while lst :
        biggest = lst [ 0 ]
        for element in lst :
            if ( element > biggest ) :
                biggest = element
        lst . remove ( biggest )
        sort . append ( biggest )
    return sort [ : ( k + 1 ) ]


","def top_k ( lst , k ) :
    sort = [ ]
    while lst :
        biggest = lst [ 0 ]
        for element in lst :
            if ( element > biggest ) :
                biggest = element
        lst . remove ( biggest )
        sort . append ( biggest )
    return sort [ : k ]


",{'top_k': 'correct_5_010.py'},{'top_k': ''},"def top_k ( lst , k ) :
    sort = [ ]
    while lst :
        biggest = lst [ 0 ]
        for element in lst :
            if ( element > biggest ) :
                biggest = element
        lst . remove ( biggest )
        sort . append ( biggest )
    return sort [ : k ]
",N/A,1.375,1.234,0.000,0.000,0.609,0.094,3.312,5,5,0.067
question_5,100,0,wrong_5_009.py,success_w_mut,0,0,"def top_k ( lst , k ) :
    n = ( len ( lst ) - k )
    counter = 0
    while ( counter < k ) :
        lst . remove ( min ( lst ) )
        counter = ( counter + 1 )
    sort_list = [ ]
    while ( lst != [ ] ) :
        sort_lst . append ( max ( lst ) )
        lst . remove ( max ( lst ) )
    return sort_list


","def top_k ( lst , k ) :
    n = ( len ( lst ) - k )
    counter = 0
    if True :
        lst . remove ( min ( lst ) )
        counter = ( counter + 1 )
    sort_list = [ ]
    while ( lst != [ ] ) :
        sort_lst . append ( max ( lst ) )
        lst . remove ( max ( lst ) )
    return sort_list
","

def top_k(lst, k):
    lst2 = []
    if True:
        pass
    while lst:
        a = max(lst)
        lst2.append(a)
        lst.remove(a)
    return lst2[0:k]
",{'top_k': 'correct_5_078.py'},{'top_k': 'B1.h'},"def top_k ( sort_list , k ) :
    n = [ ]
    if True :
        pass
    while ( sort_list != [ ] ) :
        ref_a = max ( sort_list )
        n . append ( ref_a )
        sort_list . remove ( ref_a )
    return n [ 0 : k ]
",N/A,11.266,0.031,0.000,0.000,0.078,33.375,44.781,5,5,0.828
question_5,100,0,wrong_5_010.py,success_w_mut,0,0,"def top_k ( lst , k ) :
    n = ( len ( lst ) - k )
    counter = 0
    while ( counter < k ) :
        lst . remove ( min ( lst ) )
        counter = ( counter + 1 )
    sort_list = [ ]
    while ( lst != [ ] ) :
        sort_list . append ( max ( lst ) )
        lst . remove ( max ( lst ) )
    return sort_list


","def top_k ( lst , k ) :
    n = ( len ( lst ) - k )
    counter = 0
    if True :
        lst . remove ( min ( lst ) )
        counter = ( counter + 1 )
    sort_list = [ ]
    while ( lst != [ ] ) :
        sort_list . append ( max ( lst ) )
        lst . remove ( max ( lst ) )
    return sort_list
","

def top_k(lst, k):
    lst2 = []
    if True:
        pass
    while lst:
        a = max(lst)
        lst2.append(a)
        lst.remove(a)
    return lst2[0:k]
",{'top_k': 'correct_5_078.py'},{'top_k': 'B1.h'},"def top_k ( lst , k ) :
    n = [ ]
    if True :
        pass
    while ( lst != [ ] ) :
        ref_a = max ( lst )
        n . append ( ref_a )
        lst . remove ( ref_a )
    return n [ 0 : k ]
",N/A,8.750,0.031,0.000,0.000,0.141,33.375,42.328,5,5,0.776
