code_id,status,num_of_tests,num_of_pass,num_of_fail
wrong_1_483.py,Fail,11.0,0,11
wrong_1_529.py,Fail,11.0,9,2
wrong_1_156.py,Fail,11.0,0,11
wrong_1_505.py,Fail,11.0,2,9
wrong_1_317.py,Fail,11.0,0,11
wrong_1_072.py,Fail,11.0,10,1
wrong_1_566.py,Fail,11.0,9,2
wrong_1_323.py,Fail,11.0,9,2
wrong_1_280.py,Fail,11.0,9,2
wrong_1_349.py,Fail,11.0,4,7
wrong_1_016.py,Fail,11.0,4,7
wrong_1_099.py,Fail,11.0,9,2
wrong_1_252.py,Fail,11.0,9,2
wrong_1_174.py,Fail,11.0,8,3
wrong_1_168.py,Fail,11.0,7,4
wrong_1_352.py,Fail,11.0,9,2
wrong_1_537.py,Fail,11.0,6,5
wrong_1_398.py,Fail,11.0,8,3
wrong_1_218.py,Fail,11.0,10,1
wrong_1_107.py,Fail,11.0,10,1
wrong_1_190.py,Fail,11.0,9,2
wrong_1_273.py,Fail,11.0,10,1
wrong_1_163.py,Fail,11.0,9,2
wrong_1_448.py,Fail,11.0,9,2
wrong_1_207.py,Fail,11.0,8,3
wrong_1_306.py,Fail,11.0,10,1
wrong_1_165.py,Fail,11.0,9,2
wrong_1_452.py,Fail,11.0,4,7
wrong_1_283.py,Fail,11.0,9,2
wrong_1_479.py,Fail,11.0,10,1
wrong_1_246.py,Fail,11.0,4,7
wrong_1_496.py,Fail,11.0,9,2
wrong_1_442.py,Fail,11.0,9,2
wrong_1_279.py,Fail,11.0,9,2
wrong_1_467.py,Fail,11.0,10,1
wrong_1_367.py,Fail,11.0,10,1
wrong_1_334.py,Fail,11.0,4,7
wrong_1_196.py,Fail,11.0,9,2
wrong_1_449.py,Fail,11.0,6,5
wrong_1_060.py,Fail,11.0,9,2
wrong_1_135.py,Fail,11.0,0,11
wrong_1_475.py,Fail,11.0,10,1
wrong_1_055.py,Fail,11.0,9,2
wrong_1_457.py,Fail,11.0,4,7
wrong_1_249.py,Fail,11.0,7,4
wrong_1_266.py,Fail,11.0,9,2
wrong_1_079.py,Fail,11.0,10,1
wrong_1_460.py,Fail,11.0,9,2
wrong_1_010.py,Fail,11.0,2,9
wrong_1_075.py,Fail,11.0,9,2
wrong_1_132.py,Fail,11.0,9,2
wrong_1_240.py,Fail,11.0,9,2
wrong_1_022.py,Fail,11.0,9,2
wrong_1_307.py,Fail,11.0,9,2
wrong_1_465.py,Fail,11.0,9,2
wrong_1_264.py,Fail,11.0,9,2
wrong_1_569.py,Fail,11.0,0,11
wrong_1_206.py,Fail,11.0,7,4
wrong_1_511.py,Fail,11.0,9,2
wrong_1_261.py,Fail,11.0,4,7
wrong_1_564.py,Fail,11.0,9,2
wrong_1_297.py,Fail,11.0,7,4
wrong_1_003.py,Fail,11.0,9,2
wrong_1_545.py,Fail,11.0,9,2
wrong_1_169.py,Fail,11.0,8,3
wrong_1_177.py,Fail,11.0,10,1
wrong_1_062.py,Fail,11.0,0,11
wrong_1_295.py,Fail,11.0,7,4
wrong_1_389.py,Fail,11.0,10,1
wrong_1_547.py,Fail,11.0,9,2
wrong_1_131.py,Fail,11.0,9,2
wrong_1_383.py,Fail,11.0,10,1
wrong_1_117.py,Fail,11.0,8,3
wrong_1_408.py,Fail,11.0,9,2
wrong_1_531.py,Fail,11.0,2,9
wrong_1_431.py,Fail,11.0,9,2
wrong_1_298.py,Fail,11.0,7,4
wrong_1_101.py,Fail,11.0,9,2
wrong_1_333.py,Fail,11.0,4,7
wrong_1_466.py,Fail,11.0,10,1
wrong_1_094.py,Fail,11.0,10,1
wrong_1_497.py,Fail,11.0,9,2
wrong_1_074.py,Fail,11.0,9,2
wrong_1_145.py,Fail,11.0,9,2
wrong_1_368.py,Fail,11.0,0,11
wrong_1_419.py,Fail,11.0,2,9
wrong_1_486.py,Fail,11.0,9,2
wrong_1_126.py,Fail,11.0,7,4
wrong_1_263.py,Fail,11.0,9,2
wrong_1_456.py,Fail,11.0,5,6
wrong_1_369.py,Fail,11.0,8,3
wrong_1_154.py,Fail,11.0,9,2
wrong_1_454.py,Fail,11.0,4,7
wrong_1_535.py,Fail,11.0,9,2
wrong_1_320.py,Fail,11.0,7,4
wrong_1_230.py,Fail,11.0,8,3
wrong_1_353.py,Fail,11.0,9,2
wrong_1_231.py,Fail,11.0,8,3
wrong_1_416.py,Fail,11.0,9,2
wrong_1_405.py,Fail,11.0,9,2
wrong_1_494.py,Fail,11.0,9,2
wrong_1_050.py,Fail,11.0,9,2
wrong_1_181.py,Fail,11.0,9,2
wrong_1_395.py,Fail,11.0,8,3
wrong_1_217.py,Fail,11.0,10,1
wrong_1_314.py,Fail,11.0,9,2
wrong_1_342.py,Fail,11.0,9,2
wrong_1_088.py,Fail,11.0,8,3
wrong_1_541.py,Fail,11.0,9,2
wrong_1_262.py,Fail,11.0,0,11
wrong_1_164.py,Fail,11.0,10,1
wrong_1_012.py,Fail,11.0,0,11
wrong_1_464.py,Fail,11.0,9,2
wrong_1_167.py,Fail,11.0,10,1
wrong_1_061.py,Fail,11.0,9,2
wrong_1_328.py,Fail,11.0,9,2
wrong_1_215.py,Fail,11.0,10,1
wrong_1_374.py,Fail,11.0,0,11
wrong_1_204.py,Fail,11.0,10,1
wrong_1_386.py,Fail,11.0,7,4
wrong_1_321.py,Fail,11.0,7,4
wrong_1_210.py,Fail,11.0,8,3
wrong_1_390.py,Fail,11.0,10,1
wrong_1_184.py,Fail,11.0,0,11
wrong_1_236.py,Fail,11.0,9,2
wrong_1_418.py,Fail,11.0,0,11
wrong_1_042.py,Fail,11.0,7,4
wrong_1_474.py,Fail,11.0,10,1
wrong_1_458.py,Fail,11.0,4,7
wrong_1_180.py,Fail,11.0,9,2
wrong_1_503.py,Fail,11.0,0,11
wrong_1_233.py,Fail,11.0,10,1
wrong_1_350.py,Fail,11.0,2,9
wrong_1_247.py,Fail,11.0,4,7
wrong_1_077.py,Fail,11.0,9,2
wrong_1_238.py,Fail,11.0,10,1
wrong_1_108.py,Fail,11.0,9,2
wrong_1_219.py,Fail,11.0,9,2
wrong_1_019.py,Fail,11.0,9,2
wrong_1_138.py,Fail,11.0,0,11
wrong_1_193.py,Fail,11.0,9,2
wrong_1_363.py,Fail,11.0,10,1
wrong_1_046.py,Fail,11.0,4,7
wrong_1_158.py,Fail,11.0,9,2
wrong_1_085.py,Fail,11.0,10,1
wrong_1_558.py,Fail,11.0,4,7
wrong_1_309.py,Fail,11.0,9,2
wrong_1_069.py,Fail,11.0,9,2
wrong_1_567.py,Fail,11.0,9,2
wrong_1_175.py,Fail,11.0,9,2
wrong_1_001.py,Fail,11.0,9,2
wrong_1_370.py,Fail,11.0,10,1
wrong_1_259.py,Fail,11.0,2,9
wrong_1_471.py,Fail,11.0,9,2
wrong_1_358.py,Fail,11.0,8,3
wrong_1_260.py,Fail,11.0,7,4
wrong_1_052.py,Fail,11.0,2,9
wrong_1_142.py,Fail,11.0,9,2
wrong_1_315.py,Fail,11.0,9,2
wrong_1_239.py,Fail,11.0,10,1
wrong_1_568.py,Fail,11.0,0,11
wrong_1_492.py,Fail,11.0,7,4
wrong_1_140.py,Fail,11.0,2,9
wrong_1_308.py,Fail,11.0,0,11
wrong_1_478.py,Fail,11.0,9,2
wrong_1_265.py,Fail,11.0,9,2
wrong_1_450.py,Fail,11.0,9,2
wrong_1_110.py,Fail,11.0,9,2
wrong_1_179.py,Fail,11.0,9,2
wrong_1_251.py,Fail,11.0,7,4
wrong_1_526.py,Fail,11.0,9,2
wrong_1_434.py,Fail,11.0,9,2
wrong_1_216.py,Fail,11.0,9,2
wrong_1_292.py,Fail,11.0,0,11
wrong_1_120.py,Fail,11.0,10,1
wrong_1_506.py,Fail,11.0,0,11
wrong_1_445.py,Fail,11.0,9,2
wrong_1_451.py,Fail,11.0,7,4
wrong_1_420.py,Fail,11.0,6,5
wrong_1_556.py,Fail,11.0,10,1
wrong_1_224.py,Fail,11.0,0,11
wrong_1_407.py,Fail,11.0,9,2
wrong_1_044.py,Fail,11.0,7,4
wrong_1_241.py,Fail,11.0,9,2
wrong_1_393.py,Fail,11.0,10,1
wrong_1_299.py,Fail,11.0,9,2
wrong_1_523.py,Fail,11.0,9,2
wrong_1_149.py,Fail,11.0,6,5
wrong_1_275.py,Fail,11.0,9,2
wrong_1_520.py,Fail,11.0,0,11
wrong_1_082.py,Fail,11.0,9,2
wrong_1_477.py,Fail,11.0,10,1
wrong_1_086.py,Fail,11.0,8,3
wrong_1_473.py,Fail,11.0,10,1
wrong_1_426.py,Fail,11.0,4,7
wrong_1_109.py,Fail,11.0,10,1
wrong_1_319.py,Fail,11.0,7,4
wrong_1_278.py,Fail,11.0,9,2
wrong_1_422.py,Fail,11.0,9,2
wrong_1_229.py,Fail,11.0,8,3
wrong_1_376.py,Fail,11.0,7,4
wrong_1_066.py,Fail,11.0,9,2
wrong_1_485.py,Fail,11.0,7,4
wrong_1_441.py,Fail,11.0,9,2
wrong_1_159.py,Fail,11.0,9,2
wrong_1_036.py,Fail,11.0,3,8
wrong_1_322.py,Fail,11.0,9,2
wrong_1_300.py,Fail,11.0,9,2
wrong_1_041.py,Fail,11.0,7,4
wrong_1_153.py,Fail,11.0,9,2
wrong_1_514.py,Fail,11.0,9,2
wrong_1_040.py,Fail,11.0,5,6
wrong_1_491.py,Fail,11.0,9,2
wrong_1_344.py,Fail,11.0,9,2
wrong_1_293.py,Fail,11.0,0,11
wrong_1_286.py,Fail,11.0,8,3
wrong_1_151.py,Fail,11.0,9,2
wrong_1_121.py,Fail,11.0,10,1
wrong_1_035.py,Fail,11.0,3,8
wrong_1_397.py,Fail,11.0,8,3
wrong_1_112.py,Fail,11.0,9,2
wrong_1_296.py,Fail,11.0,7,4
wrong_1_561.py,Fail,11.0,10,1
wrong_1_415.py,Fail,11.0,5,6
wrong_1_253.py,Fail,11.0,9,2
wrong_1_148.py,Fail,11.0,6,5
wrong_1_078.py,Fail,11.0,9,2
wrong_1_014.py,Fail,11.0,4,7
wrong_1_182.py,Fail,11.0,9,2
wrong_1_185.py,Fail,11.0,2,9
wrong_1_411.py,Fail,11.0,9,2
wrong_1_209.py,Fail,11.0,8,3
wrong_1_172.py,Fail,11.0,8,3
wrong_1_409.py,Fail,11.0,9,2
wrong_1_498.py,Fail,11.0,9,2
wrong_1_433.py,Fail,11.0,4,7
wrong_1_150.py,Fail,11.0,9,2
wrong_1_468.py,Fail,11.0,9,2
wrong_1_371.py,Fail,11.0,10,1
wrong_1_189.py,Fail,11.0,10,1
wrong_1_549.py,Fail,11.0,9,2
wrong_1_176.py,Fail,11.0,10,1
wrong_1_443.py,Fail,11.0,9,2
wrong_1_023.py,Fail,11.0,9,2
wrong_1_347.py,Fail,11.0,4,7
wrong_1_391.py,Fail,11.0,10,1
wrong_1_571.py,Fail,11.0,6,5
wrong_1_550.py,Fail,11.0,9,2
wrong_1_029.py,Fail,11.0,8,3
wrong_1_028.py,Fail,11.0,8,3
wrong_1_194.py,Fail,11.0,4,7
wrong_1_543.py,Fail,11.0,9,2
wrong_1_463.py,Fail,11.0,10,1
wrong_1_553.py,Fail,11.0,9,2
wrong_1_510.py,Fail,11.0,9,2
wrong_1_104.py,Fail,11.0,10,1
wrong_1_071.py,Fail,11.0,10,1
wrong_1_111.py,Fail,11.0,9,2
wrong_1_255.py,Fail,11.0,9,2
wrong_1_187.py,Fail,11.0,9,2
wrong_1_427.py,Fail,11.0,4,7
wrong_1_212.py,Fail,11.0,10,1
wrong_1_004.py,Fail,11.0,9,2
wrong_1_424.py,Fail,11.0,10,1
wrong_1_361.py,Fail,11.0,10,1
wrong_1_552.py,Fail,11.0,9,2
wrong_1_146.py,Fail,11.0,9,2
wrong_1_277.py,Fail,11.0,9,2
wrong_1_080.py,Fail,11.0,10,1
wrong_1_228.py,Fail,11.0,9,2
wrong_1_487.py,Fail,11.0,10,1
wrong_1_170.py,Fail,11.0,8,3
wrong_1_318.py,Fail,11.0,4,7
wrong_1_070.py,Fail,11.0,9,2
wrong_1_291.py,Fail,11.0,0,11
wrong_1_081.py,Fail,11.0,7,4
wrong_1_312.py,Fail,11.0,9,2
wrong_1_289.py,Fail,11.0,10,1
wrong_1_404.py,Fail,11.0,2,9
wrong_1_096.py,Fail,11.0,10,1
wrong_1_384.py,Fail,11.0,7,4
wrong_1_213.py,Fail,11.0,0,11
wrong_1_359.py,Fail,11.0,8,3
wrong_1_313.py,Fail,11.0,9,2
wrong_1_403.py,Fail,11.0,10,1
wrong_1_380.py,Fail,11.0,0,11
wrong_1_089.py,Fail,11.0,8,3
