code_id,status,num_of_tests,num_of_pass,num_of_fail
wrong_1_001.py,Fail,10.0,3,7
wrong_1_002.py,Pass,10.0,10,0
wrong_1_003.py,Pass,10.0,10,0
wrong_1_004.py,Fail,10.0,7,3
wrong_1_005.py,Fail,10.0,7,3
wrong_1_006.py,Fail,10.0,6,4
wrong_1_007.py,Fail,10.0,6,4
wrong_1_008.py,Fail,10.0,6,4
wrong_1_009.py,Fail,10.0,0,10
wrong_1_010.py,Fail,10.0,3,7
wrong_1_011.py,Fail,10.0,5,5
wrong_1_012.py,Fail,10.0,0,10
wrong_1_013.py,Fail,10.0,0,10
wrong_1_014.py,Fail,10.0,3,7
wrong_1_015.py,Fail,10.0,6,4
wrong_1_016.py,Fail,10.0,6,4
wrong_1_017.py,Fail,10.0,3,7
wrong_1_018.py,Pass,10.0,10,0
wrong_1_019.py,Pass,10.0,10,0
wrong_1_020.py,Pass,10.0,10,0
wrong_1_021.py,Pass,10.0,10,0
wrong_1_022.py,Pass,10.0,10,0
wrong_1_023.py,Fail,10.0,7,3
wrong_1_024.py,Fail,10.0,7,3
wrong_1_025.py,Pass,10.0,10,0
wrong_1_026.py,Pass,10.0,10,0
wrong_1_027.py,Pass,10.0,10,0
wrong_1_028.py,Fail,10.0,7,3
wrong_1_029.py,Fail,10.0,7,3
wrong_1_030.py,Fail,10.0,4,6
wrong_1_031.py,Pass,10.0,10,0
wrong_1_032.py,Fail,10.0,3,7
wrong_1_033.py,Fail,10.0,4,6
wrong_1_034.py,Fail,10.0,4,6
wrong_1_035.py,Fail,10.0,4,6
wrong_1_036.py,Fail,10.0,4,6
wrong_1_037.py,Fail,10.0,4,6
wrong_1_038.py,Fail,10.0,1,9
wrong_1_039.py,Fail,10.0,0,10
wrong_1_040.py,Fail,10.0,1,9
wrong_1_041.py,Fail,10.0,5,5
wrong_1_042.py,Fail,10.0,5,5
wrong_1_043.py,Fail,10.0,4,6
wrong_1_044.py,Fail,10.0,5,5
wrong_1_045.py,Fail,10.0,2,8
wrong_1_046.py,Fail,10.0,2,8
wrong_1_047.py,Fail,10.0,6,4
wrong_1_048.py,Fail,10.0,4,6
wrong_1_049.py,Fail,10.0,4,6
wrong_1_050.py,Fail,10.0,6,4
wrong_1_051.py,Pass,10.0,10,0
wrong_1_052.py,Fail,10.0,0,10
wrong_1_053.py,Pass,10.0,10,0
wrong_1_054.py,Pass,10.0,10,0
wrong_1_055.py,Fail,10.0,7,3
wrong_1_056.py,Pass,10.0,10,0
wrong_1_057.py,Pass,10.0,10,0
wrong_1_058.py,Pass,10.0,10,0
wrong_1_059.py,Fail,10.0,8,2
wrong_1_060.py,Pass,10.0,10,0
wrong_1_061.py,Pass,10.0,10,0
wrong_1_062.py,Fail,10.0,0,10
wrong_1_063.py,Fail,10.0,0,10
wrong_1_064.py,Fail,10.0,9,1
wrong_1_065.py,Fail,10.0,0,10
wrong_1_066.py,Pass,10.0,10,0
wrong_1_067.py,Pass,10.0,10,0
wrong_1_068.py,Pass,10.0,10,0
wrong_1_069.py,Pass,10.0,10,0
wrong_1_070.py,Pass,10.0,10,0
wrong_1_071.py,Pass,10.0,10,0
wrong_1_072.py,Fail,10.0,6,4
wrong_1_073.py,Pass,10.0,10,0
wrong_1_074.py,Fail,10.0,9,1
wrong_1_075.py,Pass,10.0,10,0
wrong_1_076.py,Pass,10.0,10,0
wrong_1_077.py,Pass,10.0,10,0
wrong_1_078.py,Pass,10.0,10,0
wrong_1_079.py,Pass,10.0,10,0
wrong_1_080.py,Pass,10.0,10,0
wrong_1_081.py,Fail,10.0,8,2
wrong_1_082.py,Pass,10.0,10,0
wrong_1_083.py,Pass,10.0,10,0
wrong_1_084.py,Pass,10.0,10,0
wrong_1_085.py,Pass,10.0,10,0
wrong_1_086.py,Fail,10.0,6,4
wrong_1_087.py,Fail,10.0,6,4
wrong_1_088.py,Fail,10.0,6,4
wrong_1_089.py,Fail,10.0,6,4
wrong_1_090.py,Fail,10.0,6,4
wrong_1_091.py,Fail,10.0,6,4
wrong_1_092.py,Fail,10.0,3,7
wrong_1_093.py,Pass,10.0,10,0
wrong_1_094.py,Pass,10.0,10,0
wrong_1_095.py,Pass,10.0,10,0
wrong_1_096.py,Pass,10.0,10,0
wrong_1_097.py,Pass,10.0,10,0
wrong_1_098.py,Pass,10.0,10,0
wrong_1_099.py,Pass,10.0,10,0
wrong_1_100.py,Pass,10.0,10,0
wrong_1_101.py,Pass,10.0,10,0
wrong_1_102.py,Pass,10.0,10,0
wrong_1_103.py,Pass,10.0,10,0
wrong_1_104.py,Pass,10.0,10,0
wrong_1_105.py,Fail,10.0,4,6
wrong_1_106.py,Fail,10.0,7,3
